areacode,cat1,cat2,cat3,contentid,contenttypeid,mapx,mapy,readcount,title,addr1,code
32,A05,A0502,A05020100,2670875,39,127.9374508,37.36987234,0,몽자포차,강원도 원주시 상지대길 42,32020
31,A05,A0502,A05020100,2670881,39,127.1125193,36.99571164,0,샤브문 평택,경기도 평택시 경기대로 279,31070
31,A05,A0502,A05020100,2670888,39,127.055234,36.95223786,0,소담고을 팽성,경기도 평택시 팽성읍 팽성남산5길 33,31070
31,A05,A0502,A05020900,2670891,39,127.055234,36.95223786,0,소담카페,경기도 평택시 팽성읍 팽성남산5길 33,31070
31,A05,A0502,A05020100,2670894,39,127.0585753,36.95622079,0,숲속갈비,경기도 평택시 팽성읍 팽성남산5길 101,31070
31,A05,A0502,A05020100,2670896,39,127.0447236,36.95983402,0,시카고,경기도 평택시 팽성읍 안정쇼핑로 18,31070
31,A05,A0502,A05020100,2670898,39,127.0451931,36.95867583,0,아빠분식,경기도 평택시 팽성읍 안정순환로104번길 20,31070
35,A05,A0502,A05020100,2670900,39,128.7319642,36.56360481,0,우정숯불갈비,경상북도 안동시 음식의길 10,37040
31,A05,A0502,A05020100,2670901,39,127.0484316,36.96062844,0,안정가마골,경기도 평택시 팽성읍 안정로 45,31070
31,A05,A0502,A05020100,2670962,39,127.0458568,36.96114222,0,오복돼지,경기도 평택시 팽성읍 안정순환로172번길 57,31070
31,A05,A0502,A05020300,2670963,39,127.0900825,36.99326985,0,오코지,경기도 평택시 자유로7번길 14-3,31070
1,A05,A0502,A05020200,2670965,39,126.9860396,37.57369522,0,레스토랑담,서울특별시 종로구 인사동길 30-7,11010
31,A05,A0502,A05020200,2670966,39,127.0432376,36.9599062,0,유앤미,경기도 평택시 팽성읍 안정순환로222번길 112,31070
31,A05,A0502,A05020100,2670967,39,127.0405265,36.97177979,0,이집고기,경기도 평택시 팽성읍 팽성대교길 111,31070
35,A05,A0502,A05020100,2670968,39,128.5266662,36.54936091,0,안동집,경상북도 안동시 풍천면 전서로 214-6,37040
35,A05,A0502,A05020100,2670969,39,128.7320059,36.56377979,0,시골갈비,경상북도 안동시 음식의길 14,37040
35,A05,A0502,A05020100,2670970,39,128.5561571,36.58099396,0,길풍,경상북도 안동시 풍산읍 나바우길 8,37040
35,A05,A0502,A05020100,2670971,39,128.762473,36.55157064,0,돈꼬쭈까,경상북도 안동시 마들6길 5,37040
